date,hard_coal,coal-derived_gas,lignite,gas,oil,biomass,wind,solar,hydro_pumped_storage,hydro_run-of-river_and_poundage,hydro_water_reservoir,other
2015,19366.00,158.00,8427.00,826.00,345.00,375.00,3758.00,14.00,1770.00,378.00,156.00,
2016,18479.00,158.00,8483.00,1302.00,345.00,435.00,5494.00,77.00,1770.00,395.00,156.00,
2017,18094.00,158.00,8214.00,1438.00,345.00,501.00,6026.00,187.00,1770.00,396.00,156.00,
2018,20076.00,158.00,8559.00,2140.00,415.00,603.00,5791.00,231.00,1780.00,455.00,157.00,
2019,22261.00,272.00,8013.00,2106.00,415.00,849.00,5808.00,430.00,1780.00,435.00,157.00,
2020,22286.00,272.00,7677.00,2540.00,359.00,880.00,5953.00,1310.00,1780.00,448.00,157.00,
2021,20925.00,272.00,7597.00,2555.00,359.00,880.00,6570.00,3473.00,1794.00,447.00,157.00,
2022,19073.00,284.00,7560.00,3807.00,393.00,647.00,7950.00,6664.00,1591.00,321.00,464.00,1524.00
2023,19008.00,281.00,7560.00,3786.00,393.00,664.00,8978.00,10643.00,1591.00,323.00,469.00,1520.00
2024,18831.00,274.00,7557.00,5162.00,393.00,662.00,9583.00,14609.00,1589.00,321.00,468.00,1643.00
2025,18532.00,270.00,7546.00,5454.00,393.00,662.00,10299.00,17308.00,1525.00,322.00,468.00,1811.00
